player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,true_sg_total,true_sg_ott,true_sg_app,true_sg_arg,true_sg_putt,sg_putt_surface,recent_form_index,form_score_adjusted,comp_course_adjustment_prelim,venue_history_rounds,venue_history_sg,named_risk_tags,likely_anti_pattern_flags,missing_data_notes
Sam Burns,0.95,94.19,DEBUT,not_available_in_v3_source,2.57,0.386,0.507,-0.071,0.796,not_available_in_v3_source,61.4,61.4,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Chris Gotterup,0.23,92.9,DEBUT,not_available_in_v3_source,1.79,0.736,0.362,0.027,0.494,not_available_in_v3_source,52.76,52.76,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Patrick Cantlay,0.07,91.61,DEBUT,not_available_in_v3_source,1.6,0.392,0.705,0.33,0.114,not_available_in_v3_source,50.84,50.84,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Justin Rose,-0.02,92.26,FULL,not_available_in_v3_source,1.52,0.282,0.84,0.14,0.253,not_available_in_v3_source,49.76,49.76,not_available_in_v3_source,2,0.085,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Wyndham Clark,1.69,86.45,DEBUT,not_available_in_v3_source,3.03,0.071,0.522,0.443,0.486,not_available_in_v3_source,70.28,70.28,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ludvig Aberg,-0.71,94.84,DEBUT,not_available_in_v3_source,1.05,0.603,0.687,0.231,0.33,not_available_in_v3_source,41.48,41.48,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Aaron Rai,0.86,76.77,DEBUT,not_available_in_v3_source,1.77,0.221,0.762,0.213,-0.287,not_available_in_v3_source,60.32,60.32,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Kurt Kitayama,0.15,83.23,DEBUT,not_available_in_v3_source,1.37,0.516,0.796,-0.031,0.045,not_available_in_v3_source,51.8,51.8,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Hideki Matsuyama,-0.27,83.23,FULL,not_available_in_v3_source,0.95,-0.021,0.637,0.471,0.126,not_available_in_v3_source,46.76,46.76,not_available_in_v3_source,1,2.052,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Robert MacIntyre,0.06,90.97,DEBUT,not_available_in_v3_source,1.53,0.469,0.055,0.186,0.653,not_available_in_v3_source,50.72,50.72,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Harris English,-0.03,85.81,DEBUT,not_available_in_v3_source,1.3,0.41,0.081,0.181,0.668,not_available_in_v3_source,49.64,49.64,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Akshay Bhatia,-0.14,85.16,DEBUT,not_available_in_v3_source,1.13,0.043,0.65,0.165,0.537,not_available_in_v3_source,48.32,48.32,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Joaquin Niemann,0.96,70.32,DEBUT,not_available_in_v3_source,1.68,0.699,0.422,0.037,-0.113,not_available_in_v3_source,61.52,61.52,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Rickie Fowler,-1.11,84.52,FULL,not_available_in_v3_source,0.15,0.435,0.334,0.05,0.406,not_available_in_v3_source,36.68,36.68,not_available_in_v3_source,1,1.552,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Shane Lowry,-0.02,81.29,FULL,not_available_in_v3_source,1.1,0.147,0.878,-0.027,0.124,not_available_in_v3_source,49.76,49.76,not_available_in_v3_source,1,-1.978,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Alex Noren,-0.69,82.58,FULL,not_available_in_v3_source,0.51,0.065,0.283,0.13,0.817,not_available_in_v3_source,41.72,41.72,not_available_in_v3_source,2,1.96,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Min Woo Lee,-0.03,81.94,DEBUT,not_available_in_v3_source,1.14,0.574,0.051,0.313,0.178,not_available_in_v3_source,49.64,49.64,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jacob Bridgeman,0.11,77.42,DEBUT,not_available_in_v3_source,1.03,0.18,0.306,0.07,0.449,not_available_in_v3_source,51.32,51.32,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Adam Scott,-0.71,74.19,FULL,not_available_in_v3_source,0.16,0.269,0.701,0.01,-0.149,not_available_in_v3_source,41.48,41.48,not_available_in_v3_source,2,1.585,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ben Griffin,0.43,88.39,DEBUT,not_available_in_v3_source,1.85,0.029,0.265,0.422,0.604,not_available_in_v3_source,55.16,55.16,not_available_in_v3_source,0,,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ryan Gerard,0.67,78.06,DEBUT,not_available_in_v3_source,1.6,0.2,0.54,-0.097,0.047,not_available_in_v3_source,58.04,58.04,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Nicolai Hojgaard,-0.39,80.0,DEBUT,not_available_in_v3_source,0.69,0.4,0.532,0.058,0.062,not_available_in_v3_source,45.32,45.32,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jake Knapp,-0.73,87.1,DEBUT,not_available_in_v3_source,0.61,0.574,0.149,-0.146,0.735,not_available_in_v3_source,41.24,41.24,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Patrick Reed,0.4,72.9,FULL,not_available_in_v3_source,1.2,0.045,0.588,0.291,0.146,not_available_in_v3_source,54.8,54.8,not_available_in_v3_source,1,-0.978,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Keegan Bradley,0.43,78.71,DEBUT,not_available_in_v3_source,1.37,0.276,0.189,0.377,0.105,not_available_in_v3_source,55.16,55.16,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Nick Taylor,-0.33,73.55,DEBUT,not_available_in_v3_source,0.52,0.01,0.317,0.311,0.231,not_available_in_v3_source,46.04,46.04,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Maverick McNealy,-0.09,87.74,FULL,not_available_in_v3_source,1.32,0.289,0.196,0.324,0.573,not_available_in_v3_source,48.92,48.92,not_available_in_v3_source,1,-2.978,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Keith Mitchell,0.49,72.26,DEBUT,not_available_in_v3_source,1.27,0.676,0.201,-0.014,-0.07,not_available_in_v3_source,55.88,55.88,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Tyrrell Hatton,0.81,75.48,FULL,not_available_in_v3_source,1.69,0.184,0.524,0.044,0.072,not_available_in_v3_source,59.72,59.72,not_available_in_v3_source,1,-2.478,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Corey Conners,-0.41,63.87,DEBUT,not_available_in_v3_source,0.19,0.211,0.599,0.004,-0.211,not_available_in_v3_source,45.08,45.08,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
J.T. Poston,0.51,69.03,DEBUT,not_available_in_v3_source,1.22,0.284,0.212,-0.063,0.216,not_available_in_v3_source,56.12,56.12,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Tom Kim,1.3,58.71,DEBUT,not_available_in_v3_source,1.84,-0.1,0.496,0.213,-0.023,not_available_in_v3_source,65.6,65.6,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Bryson DeChambeau,-0.32,80.65,FULL,not_available_in_v3_source,0.79,0.948,0.187,-0.291,0.198,not_available_in_v3_source,46.16,46.16,not_available_in_v3_source,1,-3.478,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Kristoffer Reitan,0.06,74.84,DEBUT,not_available_in_v3_source,0.95,0.655,0.085,-0.19,0.287,not_available_in_v3_source,50.72,50.72,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Alex Smalley,0.23,71.61,DEBUT,not_available_in_v3_source,0.96,0.214,0.347,-0.068,0.159,not_available_in_v3_source,52.76,52.76,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Alex Fitzpatrick,1.0,61.29,DEBUT,not_available_in_v3_source,1.57,0.172,0.333,0.176,0.017,not_available_in_v3_source,62.0,62.0,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Justin Thomas,0.63,79.35,FULL,not_available_in_v3_source,1.71,0.19,0.15,0.578,0.16,not_available_in_v3_source,57.56,57.56,not_available_in_v3_source,1,-0.478,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Gary Woodland,0.09,67.1,FULL,not_available_in_v3_source,0.75,0.646,0.323,-0.356,0.32,not_available_in_v3_source,51.08,51.08,not_available_in_v3_source,1,-0.198,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Brian Harman,0.33,66.45,FULL,not_available_in_v3_source,0.99,-0.041,0.393,0.183,0.159,not_available_in_v3_source,53.96,53.96,not_available_in_v3_source,1,-0.978,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Bud Cauley,0.62,60.0,DEBUT,not_available_in_v3_source,1.17,0.164,0.39,0.267,-0.228,not_available_in_v3_source,57.44,57.44,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jordan Spieth,-0.7,70.32,FULL,not_available_in_v3_source,0.02,0.24,0.241,0.08,0.162,not_available_in_v3_source,41.6,41.6,not_available_in_v3_source,1,4.552,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Matt McCarty,-0.69,68.39,DEBUT,not_available_in_v3_source,0.01,0.08,0.206,-0.045,0.334,not_available_in_v3_source,41.72,41.72,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Michael Thorbjornsen,-0.14,67.74,DEBUT,not_available_in_v3_source,0.54,0.454,0.022,0.186,-0.185,not_available_in_v3_source,48.32,48.32,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Angel Ayora,-0.35,65.81,DEBUT,not_available_in_v3_source,0.31,0.625,0.205,-0.082,-0.041,not_available_in_v3_source,45.8,45.8,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jayden Schaper,-0.96,62.58,DEBUT,not_available_in_v3_source,-0.39,0.221,-0.072,0.132,0.077,not_available_in_v3_source,38.48,38.48,not_available_in_v3_source,0,,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Daniel Berger,-0.06,51.61,FULL,not_available_in_v3_source,0.33,0.198,0.677,-0.279,-0.18,not_available_in_v3_source,49.28,49.28,not_available_in_v3_source,1,1.302,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jordan Smith,-0.41,54.19,DEBUT,not_available_in_v3_source,0.05,0.382,0.346,-0.011,-0.31,not_available_in_v3_source,45.08,45.08,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Eric Cole,0.41,61.94,DEBUT,not_available_in_v3_source,0.98,-0.523,0.302,0.319,0.486,not_available_in_v3_source,54.92,54.92,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
David Puig,-0.15,69.68,DEBUT,not_available_in_v3_source,0.56,0.629,-0.307,0.006,0.587,not_available_in_v3_source,48.2,48.2,not_available_in_v3_source,0,,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Sepp Straka,-1.64,60.65,DEBUT,not_available_in_v3_source,-1.08,0.169,0.502,-0.019,0.056,not_available_in_v3_source,30.32,30.32,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jason Day,-0.67,65.16,FULL,not_available_in_v3_source,-0.01,0.136,-0.276,0.562,0.259,not_available_in_v3_source,41.96,41.96,not_available_in_v3_source,1,1.302,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Harry Hall,-1.13,76.13,DEBUT,not_available_in_v3_source,-0.24,-0.178,0.052,0.396,0.664,not_available_in_v3_source,36.44,36.44,not_available_in_v3_source,0,,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Matt Wallace,0.38,53.55,DEBUT,not_available_in_v3_source,0.81,-0.149,0.445,0.16,0.055,not_available_in_v3_source,54.56,54.56,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Johnny Keefer,1.04,44.52,DEBUT,not_available_in_v3_source,1.26,0.505,0.444,-0.352,-0.417,not_available_in_v3_source,62.48,62.48,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
John Parry,-1.13,50.32,DEBUT,not_available_in_v3_source,-0.76,0.058,0.318,0.053,-0.274,not_available_in_v3_source,36.44,36.44,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Sahith Theegala,0.1,63.23,DEBUT,not_available_in_v3_source,0.68,0.004,0.223,0.276,0.022,not_available_in_v3_source,51.2,51.2,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Nico Echavarria,0.64,50.97,DEBUT,not_available_in_v3_source,1.01,-0.072,0.123,-0.12,0.249,not_available_in_v3_source,57.68,57.68,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Daniel Hillier,-0.68,56.13,DEBUT,not_available_in_v3_source,-0.2,0.367,0.251,-0.397,0.186,not_available_in_v3_source,41.84,41.84,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Max Homa,0.11,59.35,DEBUT,not_available_in_v3_source,0.66,0.145,0.132,0.015,0.345,not_available_in_v3_source,51.32,51.32,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Rasmus Neergaard-Petersen,0.1,47.74,DEBUT,not_available_in_v3_source,0.4,0.479,0.178,-0.199,-0.046,not_available_in_v3_source,51.2,51.2,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Victor Perez,0.82,48.39,DEBUT,not_available_in_v3_source,1.15,0.229,0.043,-0.055,0.139,not_available_in_v3_source,59.84,59.84,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Pierceson Coody,-0.04,57.42,DEBUT,not_available_in_v3_source,0.44,0.627,0.221,-0.201,0.062,not_available_in_v3_source,49.52,49.52,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Thomas Detry,-0.31,54.84,DEBUT,not_available_in_v3_source,0.15,0.124,0.056,-0.021,0.305,not_available_in_v3_source,46.28,46.28,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Rasmus Hojgaard,-1.07,64.52,DEBUT,not_available_in_v3_source,-0.43,0.272,0.087,-0.187,0.556,not_available_in_v3_source,37.16,37.16,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Sam Stevens,-0.37,52.26,DEBUT,not_available_in_v3_source,0.02,0.467,0.1,0.035,-0.202,not_available_in_v3_source,45.56,45.56,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
