player_name,dg_id,event_name,course_name,VenueDNA_rank,VenueDNA_tier,VenueDNA_final_projection,VenueDNA_neutral_skill,VenueDNA_venue_fit_delta,VenueDNA_venue_history_delta,VenueDNA_penalties_total,VenueDNA_confidence_band,VenueDNA_primary_case,VenueDNA_key_risk,VenueDNA_failure_condition,VenueDNA_conviction,VenueDNA_trait_approach,VenueDNA_trait_long_iron_150_225,VenueDNA_trait_total_driving,VenueDNA_trait_par5_scoring,VenueDNA_trait_easy_green_putting,VenueDNA_trait_course_history,anti_pattern_flags,risk_flags,tags,r1_tee_time,r1_wave,r1_start_hole,r2_tee_time,r2_wave,r2_start_hole,DG_finalprediction_benchmark,DG_stddev_benchmark,DG_coursefittotaladj_benchmark
"Knapp, Jake",19396,3M Open,TPC Twin Cities,13,T3,64.9,73.4,-0.5,-0.001,-4.0,low,Off-the-tee SG (+0.37/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.045); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,medium,56.9,57.9,67.4,31.6,76.8,47.1,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T3|approach_solid|flag_accuracy_risk|flag_long_iron_deficit,7:18 AM,early,10,12:33 PM,late,1,0.555,2.855,-0.16
"Stevens, Sam",25569,3M Open,TPC Twin Cities,14,T3,64.9,63.0,0.1494,0.047,0,high,Similar-course delta fit (+0.149 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,medium,50.4,52.0,69.5,39.7,41.0,69.1,,,T3|venue_fit_upside,12:00 PM,late,10,6:45 AM,early,1,0.673,2.75,-0.04
"Hoey, Rico",23504,3M Open,TPC Twin Cities,15,T3,64.3,57.7,0.4395,-0.024,0,high,Approach trait score 64/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,medium,63.6,71.7,67.1,43.2,37.6,36.5,,,T3|approach_solid|long_iron_elite|venue_fit_upside,7:07 AM,early,10,12:22 PM,late,1,0.241,2.803,-0.031
"McGreevy, Max",23505,3M Open,TPC Twin Cities,16,T3,64.1,62.1,0.1551,-0.006,-2.0,medium,Similar-course delta fit (+0.155 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,medium,59.6,58.5,57.1,59.5,34.5,44.8,long_iron_deficit,long_iron_deficit,T3|approach_solid|venue_fit_upside|flag_long_iron_deficit,1:06 PM,late,1,7:51 AM,early,10,0.54,2.705,0.129
"Yellamaraju, Sudarshan",29925,3M Open,TPC Twin Cities,17,T3,64.1,58.4,0.39,0,-2.0,medium,Similar-course delta fit (+0.390 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,medium,59.8,56.8,68.5,41.7,63.3,45.0,long_iron_deficit,long_iron_deficit,T3|approach_solid|venue_fit_upside|flag_long_iron_deficit,7:07 AM,early,10,12:22 PM,late,1,0.271,2.798,-0.058
"James, Ben",29827,3M Open,TPC Twin Cities,18,T3,63.6,61.3,0.1706,-0.018,0,high,Approach trait score 63/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,medium,63.3,74.6,58.0,50.7,58.2,39.3,,,T3|approach_solid|long_iron_elite|venue_fit_upside,8:24 AM,early,10,1:39 PM,late,1,0.65,2.76,0.041
"Ghim, Doug",24550,3M Open,TPC Twin Cities,19,T3,63.5,61.6,0.1424,0.049,-4.0,low,Similar-course delta fit (+0.142 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,medium,50.9,44.2,73.1,46.0,45.3,70.0,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T3|venue_fit_upside|venue_experience|flag_short_game_only|flag_long_iron_deficit,1:06 PM,late,10,7:51 AM,early,1,0.881,2.724,0.045
"Rodgers, Patrick",16283,3M Open,TPC Twin Cities,20,T3,63.0,58.6,0.3073,0.008,-2.0,medium,Similar-course delta fit (+0.307 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.064); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,medium,47.6,52.2,49.7,40.6,65.7,51.2,accuracy_risk,accuracy_risk,T3|venue_fit_upside|venue_experience|flag_accuracy_risk,8:02 AM,early,10,1:17 PM,late,1,-0.295,2.802,-0.12
"McCarthy, Denny",19870,3M Open,TPC Twin Cities,21,T3,62.8,62.8,0.0248,0.014,-4.0,low,NSI 62.8/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,medium,53.1,50.1,37.9,60.8,72.1,53.9,putting_dependency|long_iron_deficit,putting_dependency|long_iron_deficit,T3|flag_putting_dependency|flag_long_iron_deficit,8:13 AM,early,10,1:28 PM,late,1,0.381,2.651,0.064
"Im, Sungjae",17488,3M Open,TPC Twin Cities,22,T3,62.7,60.9,0.1447,-0.002,-4.0,low,Similar-course delta fit (+0.145 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,medium,34.4,31.5,65.3,47.0,61.0,46.6,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T3|venue_fit_upside|flag_short_game_only|flag_long_iron_deficit,7:29 AM,early,10,12:44 PM,late,1,0.733,2.786,0.041
"Putnam, Andrew",14704,3M Open,TPC Twin Cities,23,T3,62.7,60.8,0.1443,-0.014,0,high,Similar-course delta fit (+0.144 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,medium,57.1,57.5,30.2,83.3,62.6,41.1,,,T3|approach_solid|venue_fit_upside,8:02 AM,early,10,1:17 PM,late,1,0.413,2.633,0.317
"Kuchar, Matt",6169,3M Open,TPC Twin Cities,24,T3,62.5,59.1,0.2417,0.039,-6.0,low,Similar-course delta fit (+0.242 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,medium,44.0,38.2,27.9,73.8,77.8,65.4,short_game_only|putting_dependency|long_iron_deficit,short_game_only|putting_dependency|long_iron_deficit,T3|venue_fit_upside|flag_short_game_only|flag_putting_dependency|flag_long_iron_deficit,7:51 AM,early,1,1:06 PM,late,10,0.084,2.62,0.23
"Mouw, William",29770,3M Open,TPC Twin Cities,25,T3,62.5,58.5,0.2814,0.037,0,high,Approach trait score 62/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,medium,61.5,65.5,59.8,45.0,43.0,64.5,,,T3|approach_solid|venue_fit_upside,7:29 AM,early,1,12:44 PM,late,10,0.242,2.795,-0.031
"Brennan, Michael",29197,3M Open,TPC Twin Cities,26,T4,61.5,61.3,0.0324,0,-2.0,medium,Approach trait score 62/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,62.5,59.6,87.1,25.9,35.4,45.0,long_iron_deficit,long_iron_deficit,T4|approach_solid|flag_long_iron_deficit,7:51 AM,early,1,1:06 PM,late,10,0.426,2.865,-0.174
"Hodges, Lee",25157,3M Open,TPC Twin Cities,27,T4,61.5,55.8,0.3825,0.043,0,high,Approach trait score 62/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,61.6,65.9,61.0,58.6,58.2,67.3,,,T4|approach_solid|venue_fit_upside,6:45 AM,early,10,12:00 PM,late,1,0.222,2.733,0.116
"Bezuidenhout, Christiaan",18103,3M Open,TPC Twin Cities,28,T4,61.4,64.3,-0.1629,0,0,high,Approach trait score 60/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,60.5,54.2,35.8,67.4,67.0,47.5,,,T4|approach_solid,12:22 PM,late,10,7:07 AM,early,1,0.672,2.647,0.156
"Neergaard-Petersen, Rasmus",23841,3M Open,TPC Twin Cities,29,T4,60.8,61.2,-0.0034,0,0,high,Off-the-tee SG (+0.47/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,52.3,65.8,71.7,42.6,51.8,45.0,,,T4,1:39 PM,late,1,8:24 AM,early,10,0.536,2.782,0.004
"Kirk, Chris",12423,3M Open,TPC Twin Cities,30,T4,60.3,58.3,0.1434,0.004,0,high,Approach trait score 71/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,70.8,61.0,53.0,55.9,25.8,49.4,,,T4|approach_elite|venue_fit_upside,7:18 AM,early,1,12:33 PM,late,10,-0.047,2.76,0.026
"Lipsky, David",15980,3M Open,TPC Twin Cities,31,T4,60.3,54.6,0.3806,0.037,-2.0,medium,Similar-course delta fit (+0.381 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,short-game-only profile; TPC does not reward scrambling over ball-striking,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,58.2,56.8,39.0,64.8,51.3,64.5,short_game_only,short_game_only,T4|approach_solid|venue_fit_upside|flag_short_game_only,1:17 PM,late,1,8:02 AM,early,10,-0.186,2.741,0.114
"Snedeker, Brandt",8820,3M Open,TPC Twin Cities,32,T4,60.3,54.1,0.4071,0.021,-4.0,low,Similar-course delta fit (+0.407 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,49.9,44.7,26.1,79.7,58.5,57.2,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T4|venue_fit_upside|flag_short_game_only|flag_long_iron_deficit,7:51 AM,early,1,1:06 PM,late,10,0.096,2.652,0.29
"Ewart, A.J.",21883,3M Open,TPC Twin Cities,33,T4,60.2,53.3,0.4525,0,-4.0,low,Similar-course delta fit (+0.453 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.031); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,55.2,53.4,40.0,53.0,70.7,45.0,accuracy_risk|putting_dependency,accuracy_risk|putting_dependency,T4|approach_solid|venue_fit_upside|flag_accuracy_risk|flag_putting_dependency,8:24 AM,early,1,1:39 PM,late,10,-0.087,2.769,-0.014
"Hughes, Mackenzie",15556,3M Open,TPC Twin Cities,34,T4,59.8,58.1,0.1236,0.015,-6.0,low,Similar-course delta fit (+0.124 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.063); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,39.8,43.2,42.6,43.9,68.3,54.4,accuracy_risk|short_game_only|long_iron_deficit,accuracy_risk|short_game_only|long_iron_deficit,T4|venue_fit_upside|venue_experience|flag_accuracy_risk|flag_short_game_only|flag_long_iron_deficit,6:45 AM,early,1,12:00 PM,late,10,0.277,2.762,-0.086
"Castillo, Ricky",27819,3M Open,TPC Twin Cities,35,T4,59.4,60.9,-0.0757,-0.003,-2.0,medium,NSI 60.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,31.0,37.2,58.9,39.6,55.5,46.1,long_iron_deficit,long_iron_deficit,T4|flag_long_iron_deficit,12:33 PM,late,10,7:18 AM,early,1,0.315,2.745,-0.029
"Bauchou, Zach",19846,3M Open,TPC Twin Cities,36,T4,59.3,57.7,0.119,0,0,high,Approach trait score 66/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,65.5,60.7,47.2,56.0,53.1,45.0,,,T4|approach_solid|venue_fit_upside,8:35 AM,early,10,1:50 PM,late,1,0.35,2.732,0.033
"Ramey, Chad",19840,3M Open,TPC Twin Cities,37,T4,59.2,54.0,0.3402,0.033,-4.0,low,Similar-course delta fit (+0.340 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,42.1,39.1,48.7,50.6,68.5,62.7,putting_dependency|long_iron_deficit,putting_dependency|long_iron_deficit,T4|venue_fit_upside|flag_putting_dependency|flag_long_iron_deficit,8:13 AM,early,1,1:28 PM,late,10,-0.176,2.746,0.007
"Power, Seamus",10104,3M Open,TPC Twin Cities,38,T4,59.1,57.1,0.1405,0.003,-4.0,low,Similar-course delta fit (+0.141 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,48.5,44.6,44.0,55.5,67.9,48.9,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T4|venue_fit_upside|flag_short_game_only|flag_long_iron_deficit,1:17 PM,late,1,8:02 AM,early,10,0.082,2.742,0.059
"Fishburn, Patrick",25094,3M Open,TPC Twin Cities,39,T4,58.7,51.0,0.5,0.034,-2.0,medium,Similar-course delta fit (+0.500 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.025); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,57.1,61.3,59.9,43.5,43.0,63.1,accuracy_risk,accuracy_risk,T4|approach_solid|venue_fit_upside|flag_accuracy_risk,8:24 AM,early,10,1:39 PM,late,1,-0.236,2.817,-0.073
"Homa, Max",17538,3M Open,TPC Twin Cities,40,T4,58.7,62.9,-0.25,0.022,-6.0,low,NSI 62.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.020); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,56.3,53.1,58.8,45.7,69.1,57.6,accuracy_risk|putting_dependency|long_iron_deficit,accuracy_risk|putting_dependency|long_iron_deficit,T4|approach_solid|flag_accuracy_risk|flag_putting_dependency|flag_long_iron_deficit,7:18 AM,early,10,12:33 PM,late,1,0.597,2.8,-0.047
"Blanchet, Chandler",24956,3M Open,TPC Twin Cities,41,T5,58.4,50.7,0.4993,0,-2.0,medium,Similar-course delta fit (+0.499 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,57.4,48.8,54.2,60.8,31.0,45.0,long_iron_deficit,long_iron_deficit,T5|approach_solid|venue_fit_upside|flag_long_iron_deficit,8:46 AM,early,10,2:01 PM,late,1,-0.48,2.835,0.145
"Grillo, Emiliano",12808,3M Open,TPC Twin Cities,42,T5,58.4,55.7,0.1886,0.089,0,high,Approach trait score 61/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,61.4,62.8,53.2,59.7,42.5,88.4,,,T5|approach_solid|venue_fit_upside|venue_experience,8:02 AM,early,1,1:17 PM,late,10,0.266,2.733,0.134
