player_name,rank,tier,headline,scouting_report,form_note,win_case,risk_vector,strength_tags,weakness_tags,course_fit_delta,baseline_sg,projected_sg,recent_true_sg_l20,vs_baseline_l20,raw_recent_starts
Mac Meissner,11,T1,"Balanced Profile, Thin Edge","Mac Meissner brings a baseline of 0.784 SG with a modeled 3M Open projection of 0.778. This is a structural fight: the course-fit delta is -0.080, so the venue is asking for more precision than his usual profile naturally supplies. Best signals: course-history calibration (+0.024). Main leaks: approach-zone scoring (-0.097), timing signal (-0.066).","Recent form: Travelers Championship T44; John Deere Classic T6; Genesis Scottish Open T30. His last-20 true SG is 0.82, and he is holding neutral versus baseline (-0.09).","Mac Meissner's win path is built on course-history calibration (+0.024); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Mac Meissner's soft spots are approach-zone scoring (-0.097), timing signal (-0.066), and that is where Twin Cities can expose him if the birdie pace gets aggressive.",['course-history calibration (+0.024)'],"['approach-zone scoring (-0.097)', 'timing signal (-0.066)']",-0.08,0.784,0.778,0.82,-0.09,pga-the memorial tournament presented by workday-T46_pga-rbc canadian open-CUT_pga-travelers championship-T44_pga-john deere classic-T6_pga-genesis scottish open-T30
Sungjae Im,12,T1,Approach-Led Scoring Path,"Sungjae Im brings a baseline of 0.304 SG with a modeled 3M Open projection of 0.733. This is a positive TPC Twin Cities build: the course-fit delta is +0.277, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: approach-zone scoring (+0.208), timing signal (+0.110), driving accuracy (+0.033).","Recent form: John Deere Classic T71; Genesis Scottish Open CUT; The Open Championship T14. His last-20 true SG is 0.30, and he is holding neutral versus baseline (+0.06).","Sungjae Im's win path is built on approach-zone scoring (+0.208); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: there is no giant red flag, but the profile does not have much margin for a flat putting week.","['approach-zone scoring (+0.208)', 'timing signal (+0.110)', 'driving accuracy (+0.033)']",[],0.277,0.304,0.733,0.3,0.06,major-u.s. open-T43_pga-travelers championship-T30_pga-john deere classic-T71_pga-genesis scottish open-CUT_major-the open championship-T14
Ben Kohles,13,T2,"Hot Form, Exact Fit","Ben Kohles brings a baseline of 0.462 SG with a modeled 3M Open projection of 0.705. This is a positive TPC Twin Cities build: the course-fit delta is +0.330, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: driving accuracy (+0.127), distance leverage (+0.109), course-history calibration (+0.049). Main leaks: timing signal (-0.042).","Recent form: Memorial Health Championship Presented By Lrs T19; John Deere Classic T3; Isco Championship T15. His last-20 true SG is 1.28, and he is heating up versus baseline (+1.14).","Ben Kohles's win path is built on driving accuracy (+0.127); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Ben Kohles's soft spots are timing signal (-0.042), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['driving accuracy (+0.127)', 'distance leverage (+0.109)', 'course-history calibration (+0.049)']",['timing signal (-0.042)'],0.33,0.462,0.705,1.28,1.14,pga-rbc canadian open-T29_major-u.s. open-T23_kft-memorial health championship presented by lrs-T19_pga-john deere classic-T3_pga-isco championship-T15
Sam Stevens,14,T2,Approach-Led Scoring Path,"Sam Stevens brings a baseline of 0.307 SG with a modeled 3M Open projection of 0.673. This is a positive TPC Twin Cities build: the course-fit delta is +0.276, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: approach-zone scoring (+0.239), course-history calibration (+0.076), timing signal (+0.043). Main leaks: distance leverage (-0.059).","Recent form: Travelers Championship T62; Genesis Scottish Open CUT; The Open Championship CUT. His last-20 true SG is -0.11, and he is cooling off versus baseline (-0.56).","Sam Stevens's win path is built on approach-zone scoring (+0.239); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Sam Stevens's soft spots are distance leverage (-0.059), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['approach-zone scoring (+0.239)', 'course-history calibration (+0.076)', 'timing signal (+0.043)']",['distance leverage (-0.059)'],0.276,0.307,0.673,-0.11,-0.56,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T7_pga-travelers championship-T62_pga-genesis scottish open-CUT_major-the open championship-CUT
Christiaan Bezuidenhout,15,T2,"Balanced Profile, Thin Edge","Christiaan Bezuidenhout brings a baseline of 0.479 SG with a modeled 3M Open projection of 0.672. This is a positive TPC Twin Cities build: the course-fit delta is +0.124, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: distance leverage (+0.105), timing signal (+0.047), driving accuracy (+0.042). Main leaks: approach-zone scoring (-0.028).","Recent form: John Deere Classic T12; Isco Championship T21; Corales Puntacana Championship T69. His last-20 true SG is 0.29, and he is cooling off versus baseline (-0.34).","Christiaan Bezuidenhout's win path is built on distance leverage (+0.105); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Christiaan Bezuidenhout's soft spots are approach-zone scoring (-0.028), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['distance leverage (+0.105)', 'timing signal (+0.047)', 'driving accuracy (+0.042)']",['approach-zone scoring (-0.028)'],0.124,0.479,0.672,0.29,-0.34,pga-charles schwab challenge-T32_pga-rbc canadian open-T54_pga-john deere classic-T12_pga-isco championship-T21_pga-corales puntacana championship-T69
Ben James,16,T2,"Hot Form, Exact Fit","Ben James brings a baseline of 0.348 SG with a modeled 3M Open projection of 0.650. This is a positive TPC Twin Cities build: the course-fit delta is +0.121, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: timing signal (+0.136), approach-zone scoring (+0.125), driving accuracy (+0.038). Main leaks: course-history calibration (-0.044).","Recent form: Travelers Championship T62; Isco Championship T15; Corales Puntacana Championship T4. His last-20 true SG is 0.69, and he is heating up versus baseline (+0.21).","Ben James's win path is built on timing signal (+0.136); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Ben James's soft spots are course-history calibration (-0.044), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.136)', 'approach-zone scoring (+0.125)', 'driving accuracy (+0.038)']",['course-history calibration (-0.044)'],0.121,0.348,0.65,0.69,0.21,pga-rbc canadian open-T54_major-u.s. open-T23_pga-travelers championship-T62_pga-isco championship-T15_pga-corales puntacana championship-T4
Brian Harman,17,T2,Fairway-First Birdie Profile,"Brian Harman brings a baseline of 0.532 SG with a modeled 3M Open projection of 0.614. This is a positive TPC Twin Cities build: the course-fit delta is +0.161, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: distance leverage (+0.074), driving accuracy (+0.051), course-history calibration (+0.031).","Recent form: Travelers Championship T25; Genesis Scottish Open T36; The Open Championship CUT. His last-20 true SG is 0.60, and he is holding neutral versus baseline (+0.03).","Brian Harman's win path is built on distance leverage (+0.074); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: there is no giant red flag, but the profile does not have much margin for a flat putting week.","['distance leverage (+0.074)', 'driving accuracy (+0.051)', 'course-history calibration (+0.031)']",[],0.161,0.532,0.614,0.6,0.03,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T32_pga-travelers championship-T25_pga-genesis scottish open-T36_major-the open championship-CUT
Max Homa,18,T2,Trending Up at the Right Time,"Max Homa brings a baseline of 0.625 SG with a modeled 3M Open projection of 0.597. The venue fit sits near neutral at -0.078, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.112), course-history calibration (+0.046). Main leaks: approach-zone scoring (-0.078), distance leverage (-0.029), driving accuracy (-0.020).","Recent form: John Deere Classic 2; Isco Championship T39; The Open Championship T28. His last-20 true SG is 1.35, and he is heating up versus baseline (+0.76).","Max Homa's win path is built on timing signal (+0.112); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Max Homa's soft spots are approach-zone scoring (-0.078), distance leverage (-0.029), driving accuracy (-0.020), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.112)', 'course-history calibration (+0.046)']","['approach-zone scoring (-0.078)', 'distance leverage (-0.029)', 'driving accuracy (-0.020)']",-0.078,0.625,0.597,1.35,0.76,pga-charles schwab challenge-T22_pga-rbc canadian open-T20_pga-john deere classic-2_pga-isco championship-T39_major-the open championship-T28
Casey Jarvis,19,T2,"Balanced Profile, Thin Edge","Casey Jarvis brings a baseline of 0.537 SG with a modeled 3M Open projection of 0.591. This is a positive TPC Twin Cities build: the course-fit delta is +0.114, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: approach-zone scoring (+0.079), driving accuracy (+0.049), distance leverage (+0.022). Main leaks: course-history calibration (-0.046).","Recent form: Bmw International Open T38; Genesis Scottish Open T21; The Open Championship T6. His last-20 true SG is 0.32, and he is holding neutral versus baseline (+0.10).","Casey Jarvis's win path is built on approach-zone scoring (+0.079); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Casey Jarvis's soft spots are course-history calibration (-0.046), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['approach-zone scoring (+0.079)', 'driving accuracy (+0.049)', 'distance leverage (+0.022)']",['course-history calibration (-0.046)'],0.114,0.537,0.591,0.32,0.1,euro-klm open-CUT_euro-ds automobiles 83° open d’italia-CUT_euro-bmw international open-T38_pga-genesis scottish open-T21_major-the open championship-T6
Pierceson Coody,20,T2,"Balanced Profile, Thin Edge","Pierceson Coody brings a baseline of 0.589 SG with a modeled 3M Open projection of 0.580. This is a structural fight: the course-fit delta is -0.145, so the venue is asking for more precision than his usual profile naturally supplies. Best signals: timing signal (+0.042), course-history calibration (+0.023). Main leaks: distance leverage (-0.116), approach-zone scoring (-0.037), driving accuracy (-0.021).","Recent form: John Deere Classic T39; Genesis Scottish Open CUT; The Open Championship T28. His last-20 true SG is 0.56, and he is holding neutral versus baseline (+0.07).","Pierceson Coody's win path is built on timing signal (+0.042); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Pierceson Coody's soft spots are distance leverage (-0.116), approach-zone scoring (-0.037), driving accuracy (-0.021), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.042)', 'course-history calibration (+0.023)']","['distance leverage (-0.116)', 'approach-zone scoring (-0.037)', 'driving accuracy (-0.021)']",-0.145,0.589,0.58,0.56,0.07,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T23_pga-john deere classic-T39_pga-genesis scottish open-CUT_major-the open championship-T28
Jackson Suber,21,T2,Trending Up at the Right Time,"Jackson Suber brings a baseline of 0.451 SG with a modeled 3M Open projection of 0.578. The venue fit sits near neutral at -0.066, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.129). Main leaks: course-history calibration (-0.034), distance leverage (-0.030).","Recent form: Travelers Championship T30; John Deere Classic T6; The Open Championship T28. His last-20 true SG is 1.34, and he is heating up versus baseline (+1.24).","Jackson Suber's win path is built on timing signal (+0.129); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Jackson Suber's soft spots are course-history calibration (-0.034), distance leverage (-0.030), and that is where Twin Cities can expose him if the birdie pace gets aggressive.",['timing signal (+0.129)'],"['course-history calibration (-0.034)', 'distance leverage (-0.030)']",-0.066,0.451,0.578,1.34,1.24,pga-rbc canadian open-T4_major-u.s. open-CUT_pga-travelers championship-T30_pga-john deere classic-T6_major-the open championship-T28
Jake Knapp,22,T2,"Power Profile, Wrong Week","Jake Knapp brings a baseline of 0.845 SG with a modeled 3M Open projection of 0.555. This is a structural fight: the course-fit delta is -0.224, so the venue is asking for more precision than his usual profile naturally supplies. Main leaks: timing signal (-0.149), distance leverage (-0.122), approach-zone scoring (-0.065).","Recent form: Travelers Championship T55; Genesis Scottish Open CUT; The Open Championship CUT. His last-20 true SG is 0.38, and he is cooling off versus baseline (-0.88).","Jake Knapp's win path is built on baseline ball-striking; if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Jake Knapp's soft spots are timing signal (-0.149), distance leverage (-0.122), approach-zone scoring (-0.065), and that is where Twin Cities can expose him if the birdie pace gets aggressive.",[],"['timing signal (-0.149)', 'distance leverage (-0.122)', 'approach-zone scoring (-0.065)']",-0.224,0.845,0.555,0.38,-0.88,pga-rbc heritage-T74_major-u.s. open-CUT_pga-travelers championship-T55_pga-genesis scottish open-CUT_major-the open championship-CUT
Max McGreevy,23,T2,"Balanced Profile, Thin Edge","Max McGreevy brings a baseline of 0.379 SG with a modeled 3M Open projection of 0.540. This is a positive TPC Twin Cities build: the course-fit delta is +0.120, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: driving accuracy (+0.064), distance leverage (+0.055), timing signal (+0.041).","Recent form: John Deere Classic T51; Genesis Scottish Open CUT; Corales Puntacana Championship T11. His last-20 true SG is 0.53, and he is holding neutral versus baseline (+0.06).","Max McGreevy's win path is built on driving accuracy (+0.064); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: there is no giant red flag, but the profile does not have much margin for a flat putting week.","['driving accuracy (+0.064)', 'distance leverage (+0.055)', 'timing signal (+0.041)']",[],0.12,0.379,0.54,0.53,0.06,pga-rbc canadian open-T51_major-u.s. open-T32_pga-john deere classic-T51_pga-genesis scottish open-CUT_pga-corales puntacana championship-T11
Rasmus Neergaard-Petersen,24,T2,"Balanced Profile, Thin Edge","Rasmus Neergaard-Petersen brings a baseline of 0.407 SG with a modeled 3M Open projection of 0.536. The venue fit sits near neutral at +0.016, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.066), approach-zone scoring (+0.058), driving accuracy (+0.042). Main leaks: course-history calibration (-0.046), distance leverage (-0.043).","Recent form: Bmw International Open 56; Genesis Scottish Open T36; The Open Championship T9. His last-20 true SG is 0.67, and he is heating up versus baseline (+0.28).","Rasmus Neergaard-Petersen's win path is built on timing signal (+0.066); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Rasmus Neergaard-Petersen's soft spots are course-history calibration (-0.046), distance leverage (-0.043), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.066)', 'approach-zone scoring (+0.058)', 'driving accuracy (+0.042)']","['course-history calibration (-0.046)', 'distance leverage (-0.043)']",0.016,0.407,0.536,0.67,0.28,pga-charles schwab challenge-T42_pga-rbc canadian open-39_euro-bmw international open-56_pga-genesis scottish open-T36_major-the open championship-T9
Michael Kim,25,T2,"Balanced Profile, Thin Edge","Michael Kim brings a baseline of 0.400 SG with a modeled 3M Open projection of 0.489. The venue fit sits near neutral at +0.073, so this week leans more on execution than on receiving free structural help from the course. Best signals: course-history calibration (+0.042), approach-zone scoring (+0.041), distance leverage (+0.021). Main leaks: driving accuracy (-0.039).","Recent form: John Deere Classic CUT; Genesis Scottish Open CUT; The Open Championship CUT. His last-20 true SG is 0.17, and he is cooling off versus baseline (-0.25).","Michael Kim's win path is built on course-history calibration (+0.042); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Michael Kim's soft spots are driving accuracy (-0.039), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['course-history calibration (+0.042)', 'approach-zone scoring (+0.041)', 'distance leverage (+0.021)']",['driving accuracy (-0.039)'],0.073,0.4,0.489,0.17,-0.25,major-u.s. open-T43_pga-travelers championship-T30_pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT
Johnny Keefer,26,T2,Trending Up at the Right Time,"Johnny Keefer brings a baseline of 0.442 SG with a modeled 3M Open projection of 0.466. This is a structural fight: the course-fit delta is -0.098, so the venue is asking for more precision than his usual profile naturally supplies. Best signals: timing signal (+0.056), approach-zone scoring (+0.042). Main leaks: distance leverage (-0.098), course-history calibration (-0.046).","Recent form: John Deere Classic CUT; Genesis Scottish Open T3; The Open Championship T59. His last-20 true SG is 1.01, and he is heating up versus baseline (+0.80).","Johnny Keefer's win path is built on timing signal (+0.056); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Johnny Keefer's soft spots are distance leverage (-0.098), course-history calibration (-0.046), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.056)', 'approach-zone scoring (+0.042)']","['distance leverage (-0.098)', 'course-history calibration (-0.046)']",-0.098,0.442,0.466,1.01,0.8,pga-rbc canadian open-T51_major-u.s. open-T39_pga-john deere classic-CUT_pga-genesis scottish open-T3_major-the open championship-T59
